#  column 1:  time
#  column 2:  oberved magnitude
#  column 3:  error in observed magnitude
#  column 4:  Flag:  0=OK  1=Invalid K-correction
2020.83  16.745  0.017  0
2021.74  16.765  0.010  0
2022.89  16.753  0.050  0
2023.84  16.746  0.020  0
2024.82  16.799  0.030  0
2025.79  16.835  0.050  0
2026.73  16.825  0.040  0
2030.63  16.907  0.040  0
2032.58  16.910  0.050  0
2037.43  17.032  0.040  0
2039.35  16.954  0.070  0
2043.22  16.975  0.050  0
2045.17  16.899  0.040  0
2047.10  16.840  0.040  0
2050.95  16.741  0.040  0
2058.71  16.991  0.040  0
2063.59  17.124  0.060  0
2068.40  17.383  0.060  0
2073.21  17.703  0.060  0
2074.24  17.502  0.050  0
2078.07  17.704  0.060  0
2137.23  19.030  0.090  1
