#  column 1:  time
#  column 2:  oberved magnitude
#  column 3:  error in observed magnitude
#  column 4:  Flag:  0=OK  1=Invalid K-correction
2020.83  16.930  0.043  0
2021.74  16.888  0.020  0
2022.89  16.805  0.050  0
2023.84  16.838  0.070  0
2024.82  16.818  0.040  0
2025.79  16.841  0.030  0
2026.73  16.864  0.020  0
2028.70  16.931  0.100  0
2030.63  16.990  0.040  0
2032.58  17.139  0.050  0
2037.43  17.344  0.050  0
2039.35  17.595  0.080  0
2041.23  17.703  0.040  0
2045.17  17.974  0.050  0
2047.10  18.146  0.040  0
2050.95  18.250  0.050  0
2058.71  18.515  0.080  0
2063.59  18.702  0.080  0
2068.40  18.955  0.070  0
2073.21  19.002  0.070  0
2074.24  18.931  0.060  0
2137.23  20.110  0.130  1
