SN2002bo 13.95 0.03 1.08 0.04 13.61 0.03 13.47 0.03 13.57 0.03 13.71 0.05 13.97 0.06 0.86 0.72 0.96 2.1 0.2 K04c
SN2002ck 16.30 0.06 1.08 0.09 16.35 0.05 16.38 0.05 16.69 0.06 99.99 9.99 99.99 9.99 0.01 0.00 0.15 2.8 0.6 CfA3
SN2002cr 14.19 0.04 1.18 0.06 14.22 0.03 14.24 0.03 14.43 0.04 99.99 9.99 99.99 9.99 0.18 0.09 0.32 2.7 0.5 CfA3
SN2002dj 13.91 0.04 1.18 0.05 13.89 0.03 13.89 0.04 14.21 0.04 14.60 0.02 14.82 0.03 0.19 0.04 0.24 2.7 0.5 P08
SN2002dp 14.58 0.03 1.12 0.04 14.49 0.02 14.46 0.02 14.61 0.02 99.99 9.99 99.99 9.99 0.49 0.31 0.56 2.4 0.4 CfA3
SN2002ha 14.71 0.02 1.21 0.04 14.80 0.02 14.77 0.02 14.92 0.02 99.99 9.99 99.99 9.99 0.09 0.00 0.18 2.7 0.6 CfA3
SN2002hd 16.70 0.06 1.16 0.11 16.73 0.05 16.78 0.05 17.04 0.06 99.99 9.99 99.99 9.99 0.04 0.00 0.16 2.7 0.6 CfA3
SN2002he 16.21 0.06 1.44 0.06 16.25 0.04 16.28 0.05 16.57 0.06 99.99 9.99 99.99 9.99 0.01 0.00 0.13 2.8 0.6 CfA3
SN2002hu 16.57 0.02 1.05 0.03 16.69 0.02 16.79 0.03 17.02 0.03 99.99 9.99 99.99 9.99 0.01 0.00 0.12 2.8 0.6 CfA3
SN2002hw 16.67 0.06 1.44 0.08 16.24 0.05 16.04 0.05 16.05 0.06 99.99 9.99 99.99 9.99 0.99 0.88 1.14 2.0 0.2 CfA3
SN2002jy 15.74 0.04 0.87 0.06 15.71 0.03 15.74 0.03 15.98 0.04 99.99 9.99 99.99 9.99 0.33 0.22 0.45 2.6 0.5 CfA3
SN2002kf 15.61 0.05 1.20 0.07 15.68 0.05 15.69 0.04 16.01 0.05 99.99 9.99 99.99 9.99 0.07 0.00 0.16 2.8 0.6 CfA3
SN2003U  16.49 0.05 1.45 0.10 16.50 0.04 16.50 0.04 16.75 0.05 99.99 9.99 99.99 9.99 0.13 0.00 0.21 2.7 0.5 CfA3
SN2003W  15.86 0.02 1.14 0.04 15.74 0.02 15.71 0.02 16.07 0.03 99.99 9.99 99.99 9.99 0.20 0.09 0.36 2.6 0.5 CfA3
SN2003cg 15.03 0.05 1.28 0.05 13.86 0.04 13.29 0.04 13.01 0.05 13.39 0.08 13.69 0.09 2.01 1.91 2.15 1.5 0.0 ER06
SN2003du 13.39 0.03 1.06 0.06 13.52 0.02 13.58 0.03 13.88 0.03 14.30 0.05 14.57 0.05 0.07 0.00 0.18 2.8 0.6 St07
SN2003fa 16.65 0.05 0.80 0.05 16.71 0.04 16.79 0.04 17.08 0.05 99.99 9.99 99.99 9.99 0.06 0.00 0.14 2.8 0.6 CfA3
SN2003it 16.37 0.03 1.35 0.09 16.32 0.03 16.29 0.03 16.44 0.03 99.99 9.99 99.99 9.99 0.27 0.16 0.41 2.6 0.5 CfA3
SN2004L  17.28 0.06 1.12 0.07 17.14 0.05 17.08 0.05 17.27 0.06 99.99 9.99 99.99 9.99 0.49 0.36 0.60 2.4 0.4 CfA3
SN2004S  14.08 0.05 1.02 0.06 14.10 0.05 14.13 0.04 14.42 0.05 14.69 0.06 14.90 0.06 0.22 0.05 0.30 2.7 0.5 K07
SN2004as 16.94 0.03 0.91 0.08 16.89 0.03 16.88 0.03 17.18 0.03 99.99 9.99 99.99 9.99 0.36 0.20 0.47 2.6 0.5 CfA3
SN2004bg 15.61 0.07 1.05 0.09 15.62 0.06 15.67 0.05 16.00 0.06 99.99 9.99 99.99 9.99 0.10 0.01 0.20 2.7 0.5 CfA3
SN2004eo 99.99 9.99 9.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99 15.69 0.05 15.91 0.06 0.02 0.00 0.20 2.7 0.6 Pa07
SN2005cf 13.24 0.02 1.09 0.03 13.27 0.02 13.31 0.02 13.65 0.03 13.86 0.03 14.00 0.03 0.14 0.04 0.25 2.8 0.6 WC3
SN2005ch 99.99 9.99 9.99 9.99 99.99 9.99 99.99 9.99 99.99 9.99 17.04 0.11 17.30 0.10 0.05 0.00 0.45 2.5 0.6 WV08
SN2005el 14.85 0.02 1.28 0.05 14.91 0.02 14.97 0.03 15.22 0.03 15.53 0.02 15.75 0.03 0.01 0.00 0.11 2.8 0.6 WC3
SN2005eq 16.26 0.04 0.88 0.05 16.23 0.03 16.33 0.04 16.58 0.04 17.01 0.02 17.26 0.05 0.25 0.16 0.40 2.6 0.5 WC3
SN2005eu 16.43 0.06 0.89 0.06 16.44 0.04 16.56 0.04 16.86 0.05 99.99 9.99 99.99 9.99 0.14 0.02 0.22 2.7 0.5 CfA3
SN2005hc 17.32 0.02 1.03 0.04 17.38 0.02 17.42 0.03 17.82 0.03 99.99 9.99 99.99 9.99 0.19 0.05 0.27 2.8 0.5 CfA3
SN2005hf 17.14 0.08 1.33 0.08 17.24 0.06 17.28 0.06 17.55 0.08 99.99 9.99 99.99 9.99 0.01 0.00 0.09 2.8 0.6 CfA3
SN2005hj 17.68 0.04 0.93 0.06 17.67 0.04 17.81 0.04 18.05 0.07 99.99 9.99 99.99 9.99 0.23 0.10 0.36 2.6 0.5 CfA3
SN2005iq 16.80 0.03 1.19 0.06 16.88 0.03 16.92 0.03 17.18 0.04 17.58 0.05 17.78 0.08 0.10 0.00 0.18 2.8 0.6 WC3
SN2005kc 15.62 0.02 1.24 0.04 15.41 0.02 15.29 0.02 15.31 0.03 99.99 9.99 99.99 9.99 0.82 0.65 0.89 2.2 0.3 CfA3
SN2005ki 15.57 0.02 1.42 0.07 15.63 0.02 15.68 0.03 15.91 0.04 99.99 9.99 99.99 9.99 0.01 0.00 0.12 2.8 0.6 CfA3
SN2005ls 16.21 0.02 0.98 0.03 15.91 0.02 15.82 0.03 15.86 0.04 99.99 9.99 99.99 9.99 0.81 0.68 0.93 2.1 0.2 CfA3
SN2005lz 17.58 0.03 1.34 0.08 17.51 0.03 17.49 0.03 17.75 0.05 99.99 9.99 99.99 9.99 0.34 0.21 0.45 2.6 0.4 CfA3
SN2005ms 16.14 0.02 0.94 0.05 16.16 0.02 16.23 0.02 16.49 0.03 99.99 9.99 99.99 9.99 0.13 0.07 0.27 2.7 0.5 CfA3
SN2005na 16.03 0.06 1.08 0.07 16.08 0.05 16.12 0.05 16.39 0.05 16.75 0.07 17.06 0.08 0.04 0.00 0.16 2.7 0.6 WC3
SN2006D  14.14 0.02 1.35 0.05 14.09 0.02 14.08 0.04 14.21 0.03 14.44 0.03 14.62 0.04 0.27 0.15 0.40 2.6 0.5 WC3
SN2006N  15.07 0.03 1.50 0.04 15.11 0.02 15.12 0.03 15.36 0.04 15.65 0.08 15.87 0.10 0.13 0.00 0.19 2.7 0.6 WC3
SN2006S  16.81 0.02 0.93 0.04 16.76 0.02 16.83 0.03 17.07 0.04 99.99 9.99 99.99 9.99 0.42 0.28 0.51 2.5 0.4 CfA3
SN2006X  15.27 0.02 1.17 0.03 14.03 0.02 13.46 0.02 13.28 0.03 13.02 0.03 13.08 0.02 2.08 2.00 2.22 1.5 0.1 WC3
SN2006ac 16.18 0.02 1.20 0.03 16.09 0.02 16.14 0.02 16.41 0.03 16.64 0.05 16.86 0.07 0.16 0.08 0.30 2.6 0.5 WC3
SN2006ak 17.09 0.08 1.21 0.08 17.12 0.06 17.15 0.06 17.38 0.07 99.99 9.99 99.99 9.99 0.07 0.00 0.20 2.7 0.6 CfA3
SN2006ar 16.47 0.04 1.16 0.12 16.34 0.03 16.31 0.03 16.58 0.04 99.99 9.99 99.99 9.99 0.49 0.29 0.57 2.5 0.4 CfA3
SN2006ax 15.01 0.02 1.05 0.03 15.08 0.02 15.18 0.02 15.44 0.03 15.87 0.02 16.29 0.04 0.01 0.00 0.12 2.8 0.6 WC3
SN2006az 16.45 0.02 1.30 0.03 16.57 0.02 16.63 0.03 16.83 0.03 99.99 9.99 99.99 9.99 0.01 0.00 0.11 2.8 0.6 CfA3
SN2006bq 16.12 0.06 1.29 0.06 16.09 0.05 16.08 0.05 16.37 0.06 99.99 9.99 99.99 9.99 0.19 0.08 0.32 2.7 0.5 CfA3
SN2006br 19.05 0.06 1.11 0.09 18.07 0.05 17.59 0.05 17.34 0.06 99.99 9.99 99.99 9.99 1.90 1.75 1.99 1.7 0.1 CfA3
SN2006bw 17.13 0.09 1.28 0.10 17.00 0.07 16.94 0.06 16.96 0.08 99.99 9.99 99.99 9.99 0.55 0.40 0.69 2.3 0.4 CfA3
SN2006cc 17.81 0.02 0.96 0.03 17.41 0.02 17.27 0.02 17.34 0.03 99.99 9.99 99.99 9.99 1.02 0.91 1.13 2.0 0.2 CfA3
SN2006cm 18.07 0.02 1.03 0.07 16.99 0.02 16.55 0.02 16.26 0.03 99.99 9.99 99.99 9.99 2.00 1.87 2.14 1.7 0.1 CfA3
SN2006cp 15.95 0.04 0.98 0.09 15.92 0.04 15.92 0.04 16.25 0.05 16.73 0.07 16.92 0.08 0.20 0.10 0.35 2.6 0.5 WC3
SN2006ef 15.42 0.08 1.22 0.09 15.44 0.06 15.45 0.06 15.71 0.07 99.99 9.99 99.99 9.99 0.11 0.00 0.21 2.7 0.5 CfA3
SN2006ej 15.68 0.07 1.12 0.09 15.69 0.06 15.69 0.06 15.92 0.07 99.99 9.99 99.99 9.99 0.18 0.06 0.29 2.7 0.5 CfA3
SN2006en 16.75 0.07 1.07 0.08 16.69 0.05 16.69 0.05 16.89 0.06 99.99 9.99 99.99 9.99 0.34 0.21 0.45 2.5 0.4 CfA3
SN2006et 15.93 0.05 1.03 0.05 15.80 0.04 15.80 0.04 15.99 0.05 99.99 9.99 99.99 9.99 0.46 0.35 0.59 2.4 0.4 CfA3
SN2006gr 16.93 0.03 0.82 0.07 16.88 0.02 16.90 0.03 17.22 0.03 17.82 0.08 18.05 0.09 0.35 0.23 0.47 2.6 0.4 WC3
SN2006is 16.18 0.08 0.78 0.09 16.23 0.06 16.33 0.06 16.74 0.07 99.99 9.99 99.99 9.99 0.01 0.00 0.14 2.8 0.6 CfA3
SN2006kf 15.85 0.03 1.55 0.03 15.91 0.02 15.94 0.03 16.06 0.03 99.99 9.99 99.99 9.99 0.08 0.00 0.19 2.7 0.6 CfA3
SN2006le 14.74 0.03 0.90 0.03 14.88 0.02 14.95 0.03 15.34 0.03 15.97 0.04 16.36 0.04 0.01 0.00 0.05 2.9 0.6 WC3
SN2006mp 15.96 0.02 0.85 0.05 15.94 0.02 16.01 0.02 16.14 0.03 99.99 9.99 99.99 9.99 0.35 0.21 0.45 2.6 0.5 CfA3
SN2006oa 17.82 0.04 0.88 0.07 17.81 0.03 17.94 0.03 18.28 0.05 99.99 9.99 99.99 9.99 0.13 0.00 0.20 2.7 0.5 CfA3
SN2006os 17.56 0.07 1.11 0.08 17.26 0.06 17.10 0.06 17.14 0.08 99.99 9.99 99.99 9.99 0.98 0.79 1.09 2.1 0.2 CfA3
SN2006qo 16.80 0.04 0.97 0.05 16.65 0.03 16.61 0.03 16.71 0.04 99.99 9.99 99.99 9.99 0.62 0.48 0.70 2.3 0.3 CfA3
SN2006sr 16.14 0.03 1.23 0.06 16.14 0.03 16.13 0.04 16.37 0.05 99.99 9.99 99.99 9.99 0.17 0.05 0.26 2.7 0.5 CfA3
SN2006td 15.73 0.02 1.39 0.05 15.62 0.02 15.56 0.02 15.77 0.03 99.99 9.99 99.99 9.99 0.47 0.34 0.61 2.5 0.4 CfA3
SN2006te 16.53 0.06 1.02 0.07 16.58 0.05 16.62 0.04 16.89 0.05 99.99 9.99 99.99 9.99 0.09 0.00 0.16 2.8 0.6 CfA3
SN2007F  15.86 0.02 0.96 0.03 15.89 0.02 15.97 0.03 16.21 0.03 99.99 9.99 99.99 9.99 0.18 0.08 0.27 2.7 0.5 CfA3
SN2007O  16.71 0.06 1.11 0.06 16.79 0.05 16.85 0.05 17.18 0.06 99.99 9.99 99.99 9.99 0.01 0.00 0.10 2.8 0.6 CfA3
SN2007R  16.61 0.08 1.21 0.08 16.66 0.06 16.68 0.05 16.86 0.07 99.99 9.99 99.99 9.99 0.08 0.00 0.20 2.7 0.5 CfA3
SN2007S  15.82 0.02 0.93 0.03 15.42 0.02 15.30 0.02 15.30 0.03 99.99 9.99 99.99 9.99 1.01 0.88 1.10 1.9 0.2 CfA3
SN2007ae 17.75 0.06 0.99 0.06 17.81 0.05 17.90 0.05 18.26 0.07 99.99 9.99 99.99 9.99 0.01 0.00 0.10 2.8 0.6 CfA3
SN2007ai 16.87 0.02 1.02 0.06 16.75 0.02 16.73 0.02 16.90 0.04 99.99 9.99 99.99 9.99 0.51 0.38 0.64 2.4 0.3 CfA3
SN2007ap 15.34 0.07 1.37 0.09 15.36 0.06 15.37 0.06 15.57 0.07 99.99 9.99 99.99 9.99 0.17 0.03 0.24 2.7 0.5 CfA3
SN2007bc 15.85 0.03 1.37 0.05 15.91 0.03 15.91 0.04 16.11 0.06 99.99 9.99 99.99 9.99 0.17 0.04 0.25 2.7 0.5 CfA3
SN2007bd 16.54 0.03 1.31 0.08 16.60 0.03 16.66 0.03 17.00 0.04 99.99 9.99 99.99 9.99 0.01 0.00 0.10 2.8 0.6 CfA3
SN2007bz 16.74 0.03 1.04 0.03 16.49 0.02 16.45 0.02 16.68 0.04 99.99 9.99 99.99 9.99 0.81 0.65 0.93 2.3 0.3 CfA3
SN2007ca 15.96 0.02 0.89 0.04 15.66 0.02 15.60 0.03 15.52 0.03 99.99 9.99 99.99 9.99 0.95 0.82 1.06 2.2 0.2 CfA3
SN2007cg 18.12 0.08 1.05 0.10 17.56 0.07 17.38 0.06 17.25 0.08 99.99 9.99 99.99 9.99 1.23 1.11 1.37 1.8 0.2 CfA3
SN2007co 16.44 0.02 1.16 0.03 16.39 0.02 16.39 0.02 16.71 0.03 99.99 9.99 99.99 9.99 0.25 0.15 0.39 2.6 0.5 CfA3
SN2007cq 15.81 0.02 1.20 0.06 15.80 0.02 15.94 0.02 16.12 0.03 16.50 0.03 16.87 0.08 0.01 0.00 0.13 2.8 0.6 WC3
SN2007qe 16.00 0.02 1.03 0.04 15.99 0.02 16.03 0.02 16.41 0.03 99.99 9.99 99.99 9.99 0.28 0.14 0.38 2.7 0.5 CfA3
SN2008L  15.12 0.06 1.43 0.06 15.27 0.04 15.35 0.04 15.55 0.06 99.99 9.99 99.99 9.99 0.01 0.00 0.07 2.8 0.6 CfA3
SN2008af 16.83 0.08 1.32 0.08 16.87 0.06 16.90 0.06 17.20 0.07 99.99 9.99 99.99 9.99 0.01 0.00 0.11 2.8 0.6 CfA3
SN2008bf 15.69 0.03 1.06 0.04 15.71 0.03 15.82 0.03 16.11 0.04 99.99 9.99 99.99 9.99 0.01 0.00 0.11 2.8 0.6 CfA3
