SN1998bu 12.11 0.01 1.03 0.02 11.80 0.01 11.65 0.01 11.65 0.01 11.74 0.02 11.87 0.03 0.97 0.85 1.07 2.2 0.3 J99,H00
SN1999cl 14.86 0.03 1.17 0.07 13.74 0.02 13.27 0.03 13.08 0.03 12.96 0.04 13.03 0.04 1.95 1.86 2.10 1.6 0.1 K00
SN1999cp 13.93 0.04 0.97 0.07 13.98 0.04 14.04 0.04 14.32 0.04 14.66 0.05 14.90 0.06 0.07 0.00 0.20 2.7 0.6 K00
SN1999ee 14.85 0.01 0.96 0.01 14.59 0.01 14.51 0.01 14.65 0.02 14.95 0.02 15.14 0.03 0.77 0.62 0.81 2.1 0.2 K04b
SN1999ek 15.63 0.02 1.14 0.03 15.52 0.02 15.41 0.02 15.54 0.02 15.82 0.02 16.07 0.02 0.46 0.37 0.58 2.3 0.3 K04c
SN1999gp 15.98 0.03 0.86 0.04 16.01 0.02 16.02 0.03 16.31 0.03 16.83 0.08 17.12 0.09 0.23 0.11 0.33 2.6 0.5 K01
SN2000E  12.81 0.04 1.08 0.05 12.72 0.03 12.66 0.04 12.91 0.05 13.41 0.05 13.67 0.06 0.43 0.26 0.53 2.4 0.4 V03
SN2000bh 15.89 0.07 1.10 0.09 15.90 0.05 15.92 0.05 16.22 0.06 16.55 0.06 16.79 0.07 0.18 0.08 0.31 2.7 0.5 K04b
SN2000bk 16.92 0.10 1.47 0.10 16.80 0.07 16.74 0.07 16.78 0.08 16.96 0.10 17.17 0.10 0.50 0.36 0.68 2.4 0.4 K01
SN2000ca 15.58 0.03 0.95 0.04 15.63 0.03 15.69 0.03 16.00 0.03 16.52 0.02 16.81 0.03 0.01 0.00 0.10 2.8 0.6 K04b
SN2000ce 17.10 0.07 0.99 0.08 16.45 0.05 16.20 0.05 16.10 0.06 16.08 0.07 16.25 0.07 1.43 1.31 1.54 1.9 0.1 K01
SN2001V  14.56 0.05 0.83 0.05 14.62 0.04 14.67 0.04 14.95 0.05 99.99 9.99 99.99 9.99 0.01 0.00 0.11 2.8 0.6 CfA3
SN2001ah 17.52 0.06 0.98 0.08 17.59 0.05 17.72 0.05 18.05 0.06 99.99 9.99 99.99 9.99 0.01 0.00 0.11 2.8 0.6 CfA3
SN2001az 16.95 0.04 1.08 0.06 17.00 0.04 17.06 0.04 17.45 0.05 99.99 9.99 99.99 9.99 0.01 0.00 0.13 2.8 0.6 CfA3
SN2001ba 16.17 0.02 1.02 0.02 16.30 0.02 99.99 9.99 16.65 0.02 17.14 0.05 17.42 0.05 0.03 0.00 0.13 2.8 0.6 K04b
SN2001bf 14.65 0.05 0.99 0.06 14.70 0.04 14.73 0.04 14.86 0.05 99.99 9.99 99.99 9.99 0.17 0.04 0.29 2.7 0.5 CfA3
SN2001bt 15.28 0.02 1.12 0.03 15.17 0.02 15.07 0.03 15.22 0.03 15.46 0.04 15.75 0.05 0.42 0.32 0.58 2.4 0.4 K04c
SN2001cn 15.17 0.05 1.07 0.05 15.09 0.04 15.05 0.04 15.25 0.05 15.59 0.06 15.86 0.06 0.38 0.24 0.48 2.5 0.4 K04c
SN2001cz 15.05 0.02 0.94 0.03 14.97 0.02 14.97 0.03 15.18 0.03 15.49 0.04 15.80 0.05 0.32 0.23 0.46 2.5 0.4 K04c
SN2001eh 16.57 0.02 0.92 0.06 16.59 0.02 16.66 0.03 16.98 0.03 99.99 9.99 99.99 9.99 0.16 0.06 0.29 2.7 0.5 CfA3
SN2001el 12.77 0.03 1.15 0.03 12.66 0.03 12.60 0.03 12.80 0.03 13.01 0.04 13.15 0.04 0.55 0.37 0.63 2.4 0.4 K03
SN2001en 14.98 0.07 1.11 0.07 15.02 0.06 15.02 0.05 15.31 0.06 99.99 9.99 99.99 9.99 0.01 0.00 0.16 2.8 0.6 CfA3
SN2001ep 14.88 0.02 1.29 0.06 14.83 0.02 14.79 0.02 14.95 0.02 99.99 9.99 99.99 9.99 0.30 0.20 0.44 2.5 0.5 CfA3
SN2001fe 14.66 0.04 1.00 0.07 14.66 0.02 14.72 0.03 15.02 0.07 99.99 9.99 99.99 9.99 0.10 0.02 0.22 2.7 0.6 CfA3
