SN2005el  4349.10 33.93 0.08 33.89 33.87 0.04 0.11 0.03
SN2005eq  8535.00 35.42 0.04 35.49 35.49 0.03 0.11 0.22
SN2005eu 10236.00 35.82 0.03 35.82 35.81 0.04 0.13 0.06
SN2005hc 13494.00 36.44 0.02 36.68 36.70 0.03 0.11 0.02
SN2005hf 12627.00 36.29 0.03 36.15 36.10 0.03 0.15 0.01
SN2005hj 17094.00 36.97 0.02 37.05 37.03 0.04 0.14 0.16
SN2005iq 10101.90 35.79 0.03 35.95 35.96 0.02 0.10 0.02
SN2005kc  4155.00 33.83 0.08 33.70 33.76 0.04 0.12 0.79
SN2005ki  6234.00 34.72 0.05 34.58 34.52 0.03 0.13 0.04
SN2005ls  6150.00 34.69 0.05 34.44 34.43 0.04 0.12 0.88
SN2005lz 12060.00 36.19 0.03 36.30 36.31 0.02 0.13 0.30
SN2005ms  7770.00 35.21 0.04 35.32 35.33 0.02 0.11 0.06
SN2005na  7826.10 35.23 0.04 35.18 35.15 0.03 0.12 0.07
SN2006D   2559.90 32.77 0.13 32.85 32.81 0.04 0.11 0.28
SN2006N   4467.90 33.99 0.07 34.05 34.03 0.04 0.12 0.06
SN2006S   9882.00 35.74 0.03 35.92 35.94 0.04 0.12 0.26
SN2006X   1091.10 30.91 0.30 31.01 31.00 0.03 0.11 2.11
SN2006ac  7122.90 35.02 0.05 34.97 34.95 0.03 0.11 0.22
SN2006ak 11730.00 36.13 0.03 36.03 35.95 0.02 0.17 0.20
SN2006ar  6876.00 34.94 0.05 35.10 35.15 0.03 0.13 0.35
SN2006ax  5391.00 34.40 0.06 34.36 34.34 0.02 0.10 0.03
SN2006az  9483.00 35.65 0.03 35.67 35.66 0.04 0.11 0.01
SN2006bq  6438.00 34.79 0.05 34.93 34.96 0.04 0.14 0.07
SN2006br  7644.00 35.17 0.04 35.21 35.26 0.05 0.15 1.86
SN2006bw  9228.00 35.59 0.04 35.48 35.51 0.07 0.19 0.62
SN2006cc  9825.00 35.73 0.03 35.77 35.76 0.04 0.11 1.02
SN2006cm  4554.00 34.03 0.07 34.24 34.26 0.03 0.13 1.94
SN2006cp  6816.00 34.92 0.05 34.91 34.94 0.04 0.12 0.21
SN2006ef  5088.00 34.28 0.06 34.38 34.42 0.04 0.15 0.03
SN2006ej  5748.00 34.54 0.06 34.55 34.57 0.04 0.15 0.15
SN2006en  9240.00 35.59 0.04 35.53 35.55 0.03 0.15 0.33
SN2006et  6423.00 34.79 0.05 34.59 34.60 0.03 0.13 0.55
SN2006gr 10547.10 35.89 0.03 36.05 36.09 0.04 0.12 0.22
SN2006is  9426.00 35.64 0.03 35.65 35.65 0.04 0.16 0.02
SN2006kf  6228.00 34.72 0.05 34.74 34.74 0.06 0.13 0.03
SN2006le  5403.00 34.41 0.06 34.30 34.35 0.03 0.09 0.00
SN2006mp  6867.00 34.94 0.05 35.05 35.05 0.03 0.12 0.28
SN2006oa 17673.00 37.05 0.02 37.23 37.20 0.03 0.12 0.02
SN2006os  9642.00 35.69 0.03 35.70 35.67 0.05 0.16 0.96
SN2006qo  9003.00 35.54 0.04 35.38 35.38 0.03 0.12 0.65
SN2006sr  6975.00 34.97 0.05 35.00 35.03 0.02 0.12 0.12
SN2006td  4515.00 34.01 0.07 34.19 34.26 0.04 0.12 0.40
SN2006te  9615.00 35.68 0.03 35.65 35.63 0.02 0.13 0.06
SN2007F   7254.00 35.06 0.04 35.15 35.11 0.02 0.11 0.14
SN2007O  10917.00 35.97 0.03 35.99 35.98 0.04 0.13 0.01
SN2007R   9357.00 35.62 0.03 35.58 35.52 0.04 0.16 0.16
SN2007S   4524.00 34.02 0.07 33.79 33.77 0.04 0.11 1.06
SN2007ae 19275.00 37.24 0.02 37.09 37.05 0.03 0.14 0.03
SN2007ai  9603.00 35.68 0.03 35.64 35.65 0.04 0.13 0.51
SN2007ap  4848.00 34.17 0.07 34.23 34.24 0.04 0.16 0.11
SN2007bc  6567.00 34.84 0.05 34.82 34.82 0.02 0.13 0.15
SN2007bd  9588.00 35.68 0.03 35.69 35.63 0.04 0.12 0.01
SN2007bz  6822.00 34.92 0.05 35.15 35.25 0.00 0.12 0.68
SN2007ca  4545.00 34.03 0.07 34.15 34.15 0.04 0.12 0.91
SN2007cg 10257.00 35.83 0.03 35.42 35.44 0.05 0.17 1.40
SN2007co  7968.00 35.27 0.04 35.38 35.37 0.03 0.11 0.22
SN2007cq  7500.90 35.13 0.05 34.98 34.96 0.03 0.11 0.06
SN2007qe  6858.00 34.93 0.05 35.22 35.25 0.03 0.11 0.08
SN2008L   5658.00 34.51 0.06 34.19 34.20 0.04 0.14 0.01
SN2008af 10233.00 35.82 0.03 35.80 35.74 0.05 0.15 0.02
SN2008bf  7695.00 35.19 0.04 34.98 34.96 0.03 0.11 0.06
