SN1998bu   708.90 29.97 0.46 30.00 29.95 0.02 0.10 0.97
SN1999cl   957.00 30.62 0.39 30.94 30.94 0.05 0.12 1.94
SN1999cp  2909.10 33.05 0.11 33.16 33.12 0.04 0.11 0.06
SN1999ee  3296.10 33.32 0.10 33.19 33.19 0.03 0.09 0.74
SN1999ek  5190.90 34.32 0.06 34.16 34.10 0.03 0.10 0.54
SN1999gp  8112.90 35.31 0.04 35.22 35.21 0.03 0.11 0.25
SN2000E   1803.00 32.00 0.18 31.59 31.61 0.04 0.12 0.46
SN2000bh  6765.00 34.90 0.05 34.98 34.94 0.03 0.12 0.14
SN2000bk  7976.10 35.27 0.04 35.34 35.34 0.06 0.17 0.50
SN2000ca  6989.10 34.98 0.05 34.88 34.89 0.03 0.10 0.01
SN2000ce  5097.00 34.28 0.06 34.38 34.35 0.04 0.12 1.39
SN2001V   4851.00 34.17 0.07 33.87 33.83 0.05 0.12 0.07
SN2001ah 17499.00 37.03 0.02 37.00 36.97 0.03 0.13 0.01
SN2001az 12180.00 36.21 0.03 36.21 36.20 0.04 0.13 0.02
SN2001ba  8718.00 35.46 0.04 35.53 35.53 0.03 0.10 0.01
SN2001bf  4590.00 34.05 0.07 33.83 33.78 0.04 0.14 0.28
SN2001bt  4220.10 33.86 0.08 33.80 33.78 0.04 0.11 0.50
SN2001cn  4454.10 33.98 0.14 33.88 33.89 0.04 0.11 0.40
SN2001cz  4506.00 34.01 0.07 33.87 33.86 0.03 0.10 0.38
SN2001eh 10887.00 35.96 0.03 35.94 35.91 0.03 0.12 0.06
SN2001el   978.00 30.67 0.33 31.35 31.39 0.03 0.11 0.45
SN2001en  4650.00 34.08 0.07 33.98 33.94 0.04 0.14 0.12
SN2001ep  3882.00 33.68 0.08 33.54 33.54 0.03 0.12 0.37
SN2001fe  4305.00 33.91 0.08 33.79 33.81 0.03 0.13 0.16
SN2002bo  1695.90 31.87 0.19 31.91 31.93 0.02 0.12 0.82
SN2002ck  9069.00 35.55 0.04 35.48 35.46 0.04 0.14 0.07
SN2002cr  3096.00 33.19 0.11 33.24 33.23 0.03 0.12 0.19
SN2002dj  2880.00 33.03 0.11 32.89 32.90 0.03 0.11 0.17
SN2002dp  3144.00 33.22 0.10 33.27 33.26 0.02 0.12 0.43
SN2002ha  4008.00 33.75 0.08 33.66 33.65 0.03 0.12 0.13
SN2002hd 10806.00 35.94 0.03 35.78 35.75 0.04 0.15 0.11
SN2002he  7452.00 35.12 0.04 35.19 35.17 0.03 0.13 0.01
SN2002hu 11472.00 36.08 0.03 36.02 36.01 0.02 0.11 0.02
SN2002hw  4881.00 34.18 0.07 34.17 34.20 0.04 0.14 1.03
SN2002jy  6033.00 34.65 0.05 34.83 34.82 0.03 0.12 0.25
SN2002kf  5841.00 34.58 0.06 34.73 34.71 0.04 0.12 0.02
SN2003U   8367.00 35.37 0.04 35.29 35.27 0.04 0.14 0.14
SN2003W   6339.00 34.76 0.05 34.56 34.52 0.05 0.13 0.35
SN2003cg  1340.10 31.36 0.25 31.01 31.08 0.08 0.14 2.09
SN2003du  2205.90 32.44 0.15 32.75 32.77 0.04 0.10 0.03
SN2003fa 11739.00 36.13 0.03 36.09 36.06 0.03 0.12 0.04
SN2003it  7197.00 35.04 0.05 34.98 35.02 0.02 0.13 0.35
SN2004L  10026.00 35.78 0.03 35.82 35.85 0.03 0.15 0.46
SN2004S   2607.00 32.81 0.13 33.23 33.25 0.03 0.11 0.03
SN2004as  9627.00 35.69 0.03 35.90 35.90 0.03 0.12 0.18
SN2004bg  6576.00 34.84 0.05 34.69 34.68 0.03 0.14 0.21
SN2004eo  4859.10 34.17 0.07 34.06 33.98 0.03 0.15 0.03
SN2005cf  2018.10 32.25 0.16 32.37 32.33 0.05 0.10 0.11
SN2005ch  8094.00 35.30 0.40 35.24 35.27 0.02 0.18 0.04
