SN2006te 35.68 0.03 0.04 16.89 1.02 0.07
SN2007F 35.06 0.04 0.03 16.21 0.96 0.03
SN2007O 35.97 0.03 0.05 17.18 1.11 0.06
SN2007R 35.62 0.03 0.05 16.86 1.21 0.08
SN2007S 34.02 0.07 0.02 15.3 0.93 0.03
SN2007ae 37.24 0.02 0.05 18.26 0.99 0.06
SN2007ai 35.68 0.03 0.02 16.9 1.02 0.06
SN2007ap 34.17 0.07 0.06 15.57 1.37 0.09
SN2007bc 34.84 0.05 0.04 16.11 1.37 0.05
SN2007bd 35.68 0.03 0.03 17.0 1.31 0.08
SN2007bz 34.92 0.05 0.02 16.68 1.04 0.03
SN2007ca 34.03 0.07 0.03 15.52 0.89 0.04
SN2007cg 35.83 0.03 0.06 17.25 1.05 0.1
SN2007co 35.27 0.04 0.02 16.71 1.16 0.03
SN2007cq 35.13 0.05 0.02 16.12 1.2 0.06
SN2007qe 34.93 0.05 0.02 16.41 1.03 0.04
SN2008L 34.51 0.06 0.04 15.55 1.43 0.06
SN2008af 35.82 0.03 0.06 17.2 1.32 0.08
SN2008bf 35.19 0.04 0.03 16.11 1.06 0.04
